This is the complete list of games supported by MAME GCW0 1.1 (based on 0.37b5) (Dec 23 2013)

The list is generated automatically and is not 100% accurate, particularly in
the "Screen Flip" column. Please let us know of any errors you find so we can
correct them.

The meanings of the columns are as follows:
Working - "No" means that the emulation has shortcomings that cause the game
  not to work correctly. This can be anywhere from just showing a black screen
  to being playable with major problems.
Correct Colors - "Yes" means that colors should be identical to the original,
  "Close" that they are very similar but wrong in places, "No" that they are
  completely wrong. In some cases, we were not able to find the color PROMs of
  the game. Those PROMs will be reported as "NO GOOD DUMP KNOWN" on startup,
  and the game will have wrong colors. The game is still reported as "Yes" in
  this column, because the code to handle the color PROMs is in the driver and
  if you provide them colors will be correct.
Sound - "Partial" means that sound support is either incomplete or not entirely
  accurate. Note that, due to analog circuitry which is difficult to emulate,
  sound may be significantly different from the real board. A common case is
  the presence of low pass filters that make the real board sound less harsh
  than the emulation.
Screen Flip - A large number of games have a dip switch setting for "Cocktail"
  cabinet, meaning that the players sit in front of each other, and the screen
  is flipped when player 2 is playing. Some games also have a "Flip Screen" dip
  switch. Those need special support in the driver, which is missing in many
  cases.
Internal Name - This is the unique name that should be specified on the command
  line to run the game. ROMs must be placed in the ROM path, either in a .zip
  file or in a subdirectory of the same name. The former is suggested, because
  the files will be identified by their CRC instead of requiring specific
  names.

+----------------------------------+-------+-------+-------+-------+----------+
|                                  |       |Correct|       |Screen | Internal |
| Galaga (fast shoot)              |  Yes  |  Yes  | Yes(2)|  Yes  | galagads |
| Gallag                           |  Yes  |  Yes  | Yes(2)|  Yes  | gallag   |
| Galaga (bootleg)                 |  Yes  |  Yes  | Yes(2)|  Yes  | galagab2 |
| Galaga '84                       |  Yes  |  Yes  | Yes(2)|  Yes  | galaga84 |
| Nebulous Bee                     |  Yes  |  Yes  | Yes(2)|  Yes  | nebulbee |
| Dig Dug (set 1)                  |  Yes  |  Yes  |  Yes  |  Yes  | digdug   |
| Dig Dug (set 2)                  |  Yes  |  Yes  |  Yes  |  Yes  | digdugb  |
| Dig Dug (Atari)                  |  Yes  |  Yes  |  Yes  |  Yes  | digdugat |
| Zig Zag (Dig Dug hardware)       |  Yes  |  Yes  |  Yes  |  Yes  | dzigzag  |
| Xevious (Namco)                  |  Yes  |  Yes  | Yes(2)|  Yes  | xevious  |
| Xevious (Atari)                  |  Yes  |  Yes  | Yes(2)|  Yes  | xeviousa |
| Xevios                           |  Yes  |  Yes  | Yes(2)|  Yes  | xevios   |
| Super Xevious                    |  Yes  |  Yes  | Yes(2)|  Yes  | sxevious |
| Super Pac-Man                    |  Yes  |  Yes  |  Yes  |  Yes  | superpac |
| Super Pac-Man (Midway)           |  Yes  |  Yes  |  Yes  |  Yes  | superpcm |
| Pac & Pal                        |  Yes  |  Yes  |  Yes  |  Yes  | pacnpal  |
| Pac & Pal (older)                |  Yes  |  Yes  |  Yes  |  Yes  | pacnpal2 |
| Pac-Man & Chomp Chomp            |  Yes  | Close |  Yes  |  Yes  | pacnchmp |
| Phozon                           |  Yes  |  Yes  |  Yes  |   No  | phozon   |
| Mappy (US)                       |  Yes  |  Yes  |  Yes  |  Yes  | mappy    |
| Mappy (Japan)                    |  Yes  |  Yes  |  Yes  |  Yes  | mappyjp  |
| Dig Dug II (set 1)               |  Yes  |  Yes  |  Yes  |  Yes  | digdug2  |
| Dig Dug II (set 2)               |  Yes  |  Yes  |  Yes  |  Yes  | digdug2a |
| Tower of Druaga (set 1)          |  Yes  |  Yes  |  Yes  |  Yes  | todruaga |
| Tower of Druaga (set 2)          |  Yes  |  Yes  |  Yes  |  Yes  | todruagb |
| Motos                            |  Yes  |  Yes  |  Yes  |  Yes  | motos    |
| Grobda (New version)             |  Yes  |  Yes  |  Yes  |  Yes  | grobda   |
| Grobda (Old version set 1)       |  Yes  |  Yes  |  Yes  |  Yes  | grobda2  |
| Grobda (Old version set 2)       |  Yes  |  Yes  |  Yes  |  Yes  | grobda3  |
| Gaplus (set 1)                   |  Yes  |  Yes  | Yes(2)|  Yes  | gaplus   |
| Gaplus (set 2)                   |  Yes  |  Yes  | Yes(2)|  Yes  | gaplusa  |
| Galaga 3 (set 1)                 |  Yes  |  Yes  | Yes(2)|  Yes  | galaga3  |
| Galaga 3 (set 2)                 |  Yes  |  Yes  | Yes(2)|  Yes  | galaga3a |
| Toypop                           |  Yes  |  Yes  |  Yes  |  Yes  | toypop   |
| Pole Position                    |  Yes  |  Yes  | Yes(2)|  Yes  | polepos  |
| Pole Position (Atari version 2)  |  Yes  |  Yes  | Yes(2)|  Yes  | poleposa |
| Pole Position (Atari version 1)  |  Yes  |  Yes  | Yes(2)|  Yes  | polepos1 |
| Top Racer                        |  Yes  |  Yes  | Yes(2)|  Yes  | topracer |
| Pole Position II                 |  Yes  |  Yes  | Yes(2)|  Yes  | polepos2 |
| Pole Position II (Atari)         |  Yes  |  Yes  | Yes(2)|  Yes  | poleps2a |
| Pole Position II (Atari bootleg 1|  Yes  |  Yes  | Yes(2)|  Yes  | poleps2b |
| Pole Position II (Atari bootleg 2|  Yes  |  Yes  | Yes(2)|  Yes  | poleps2c |
| Pac-Land (set 1)                 |  Yes  |  Yes  |  Yes  |   No  | pacland  |
| Pac-Land (set 2)                 |  Yes  |  Yes  |  Yes  |   No  | pacland2 |
| Pac-Land (set 3)                 |  Yes  |  Yes  |  Yes  |   No  | pacland3 |
| Pac-Land (Midway)                |  Yes  |  Yes  |  Yes  |   No  | paclandm |
| Dragon Buster                    |  Yes  |  Yes  |  Yes  |  Yes  | drgnbstr |
| Sky Kid                          |  Yes  |  Yes  |  Yes  |  Yes  | skykid   |
| Baraduke                         |  Yes  |  Yes  |  Yes  |  Yes  | baraduke |
| Metro-Cross                      |  Yes  |  Yes  |  Yes  |  Yes  | metrocrs |
| Hopping Mappy                    |  Yes  |  Yes  |  Yes  |  Yes  | hopmappy |
| Sky Kid Deluxe (set 1)           |  Yes  |  Yes  |  Yes  |  Yes  | skykiddx |
| Sky Kid Deluxe (set 2)           |  Yes  |  Yes  |  Yes  |  Yes  | skykiddo |
| Return of Ishtar, The            |  Yes  |  Yes  |  Yes  |  Yes  | roishtar |
| Genpei ToumaDen                  |  Yes  |  Yes  |  Yes  |  Yes  | genpeitd |
| Rolling Thunder (new version)    |  Yes  |  Yes  |  Yes  |  Yes  | rthunder |
| Rolling Thunder (old version)    |  Yes  |  Yes  |  Yes  |  Yes  | rthundro |
| Wonder Momo                      |  Yes  |  Yes  |  Yes  |  Yes  | wndrmomo |
| Shadow Land                      |  Yes  |  Yes  |  Yes  |  Yes  | shadowld |
| Yokai Douchuuki (Japan new versio|  Yes  |  Yes  |  Yes  |  Yes  | youkaidk |
| Yokai Douchuuki (Japan old versio|  Yes  |  Yes  |  Yes  |  Yes  | yokaidko |
| Dragon Spirit (new version)      |  Yes  |  Yes  |  Yes  |  Yes  | dspirit  |
| Dragon Spirit (old version)      |  Yes  |  Yes  |  Yes  |  Yes  | dspirito |
| Blazer (Japan)                   |  Yes  |  Yes  |  Yes  |  Yes  | blazer   |
| Quester (Japan)                  |  Yes  |  Yes  |  Yes  |  Yes  | quester  |
| Pac-Mania                        |  Yes  |  Yes  |  Yes  |  Yes  | pacmania |
| Pac-Mania (Japan)                |  Yes  |  Yes  |  Yes  |  Yes  | pacmanij |
| Galaga '88 (set 1)               |  Yes  |  Yes  |  Yes  |  Yes  | galaga88 |
| Galaga '88 (set 2)               |  Yes  |  Yes  |  Yes  |  Yes  | galag88b |
| Galaga '88 (Japan)               |  Yes  |  Yes  |  Yes  |  Yes  | galag88j |
| World Stadium (Japan)            |  Yes  |  Yes  |  Yes  |  Yes  | ws       |
| Beraboh Man (Japan)              |  Yes  |  Yes  |  Yes  |  Yes  | berabohm |
| Marchen Maze (Japan)             |  Yes  |  Yes  |  Yes  |  Yes  | mmaze    |
| Bakutotsu Kijuutei               |  Yes  |  Yes  |  Yes  |  Yes  | bakutotu |
| World Court (Japan)              |  Yes  |  Yes  |  Yes  |  Yes  | wldcourt |
| Splatter House (Japan)           |  Yes  |  Yes  |  Yes  |  Yes  | splatter |
| Face Off (Japan)                 |  Yes  |  Yes  |  Yes  |  Yes  | faceoff  |
| Rompers (Japan)                  |  Yes  |  Yes  |  Yes  |  Yes  | rompers  |
| Rompers (Japan old version)      |  Yes  |  Yes  |  Yes  |  Yes  | romperso |
| Blast Off (Japan)                |  Yes  |  Yes  |  Yes  |  Yes  | blastoff |
| World Stadium '89 (Japan)        |  Yes  |  Yes  |  Yes  |  Yes  | ws89     |
| Dangerous Seed (Japan)           |  Yes  |  Yes  |  Yes  |  Yes  | dangseed |
| World Stadium '90 (Japan)        |  Yes  |  Yes  |  Yes  |  Yes  | ws90     |
| Pistol Daimyo no Bouken (Japan)  |  Yes  |  Yes  |  Yes  |  Yes  | pistoldm |
| Souko Ban Deluxe (Japan)         |  Yes  |  Yes  |  Yes  |  Yes  | soukobdx |
| Puzzle Club (Japan prototype)    |  Yes  |  Yes  |  Yes  |  Yes  | puzlclub |
| Tank Force (US)                  |  Yes  |  Yes  |  Yes  |  Yes  | tankfrce |
| Tank Force (Japan)               |  Yes  |  Yes  |  Yes  |  Yes  | tankfrcj |
| Assault                          |  Yes  |  Yes  |  Yes  |  Yes  | assault  |
| Assault (Japan)                  |  Yes  |  Yes  |  Yes  |  Yes  | assaultj |
| Assault Plus (Japan)             |  Yes  |  Yes  |  Yes  |  Yes  | assaultp |
| Mirai Ninja (Japan)              |  Yes  |  Yes  |  Yes  |  Yes  | mirninja |
| Ordyne (Japan)                   |  Yes  |  Yes  |  Yes  |  Yes  | ordyne   |
| Phelios (Japan)                  |  Yes  |  Yes  |  Yes  |  Yes  | phelios  |
| Burning Force (Japan)            |  Yes  |  Yes  |  Yes  |  Yes  | burnforc |
| Finest Hour (Japan)              |  Yes  |  Yes  |  Yes  |  Yes  | finehour |
| Marvel Land (US)                 |  Yes  |  Yes  |  Yes  |  Yes  | marvland |
| Marvel Land (Japan)              |  Yes  |  Yes  |  Yes  |  Yes  | marvlanj |
| Legend of the Valkyrie (Japan)   |  Yes  |  Yes  |  Yes  |  Yes  | valkyrie |
| Kyuukai Douchuuki (Japan new vers|  Yes  |  Yes  |  Yes  |  Yes  | kyukaidk |
| Kyuukai Douchuuki (Japan old vers|  Yes  |  Yes  |  Yes  |  Yes  | kyukaido |
| Dragon Saber                     |  Yes  |  Yes  |  Yes  |  Yes  | dsaber   |
| Dragon Saber (Japan)             |  Yes  |  Yes  |  Yes  |  Yes  | dsaberj  |
| Rolling Thunder 2                |  Yes  |  Yes  |  Yes  |  Yes  | rthun2   |
| Rolling Thunder 2 (Japan)        |  Yes  |  Yes  |  Yes  |  Yes  | rthun2j  |
| Cosmo Gang the Video (US)        |  Yes  |  Yes  |  Yes  |  Yes  | cosmogng |
| Cosmo Gang the Video (Japan)     |  Yes  |  Yes  |  Yes  |  Yes  | cosmognj |
| Super World Stadium '92 (Japan)  |  Yes  |  Yes  |  Yes  |  Yes  | sws92    |
| Super World Stadium '93 (Japan)  |  Yes  |  Yes  |  Yes  |  Yes  | sws93    |
| Cosmic Guerilla                  |  Yes  |  Yes  | Yes(2)|   No  | cosmicg  |
| Cosmic Alien                     |  Yes  |  Yes  |   No  |  Yes  | cosmica  |
| Cosmic Alien (older)             |  Yes  |  Yes  |   No  |  Yes  | cosmica2 |
| Space Panic (set 1)              |  Yes  |  Yes  | Yes(2)|  Yes  | panic    |
| Space Panic (set 2)              |  Yes  |  Yes  | Yes(2)|  Yes  | panica   |
| Space Panic (German)             |  Yes  |  Yes  | Yes(2)|  Yes  | panicger |
| Magical Spot II                  |  Yes  |  Yes  |Partial|  Yes  | magspot2 |
| Devil Zone                       |  Yes  |  Yes  |Partial|  Yes  | devzone  |
| No Man's Land                    |  Yes  |   No  |Partial|  Yes  | nomnlnd  |
| No Man's Land (Gottlieb)         |  Yes  |   No  |Partial|  Yes  | nomnlndg |
| Cheeky Mouse                     |  Yes  |   No  |Partial|  Yes  | cheekyms |
| Lady Bug                         |  Yes  |  Yes  |  Yes  |  Yes  | ladybug  |
| Lady Bug (bootleg)               |  Yes  |  Yes  |  Yes  |  Yes  | ladybugb |
| Snap Jack                        |  Yes  |  Yes  |  Yes  |  Yes  | snapjack |
| Cosmic Avenger                   |  Yes  |  Yes  |  Yes  |  Yes  | cavenger |
| Mr. Do! (Universal)              |  Yes  |  Yes  |  Yes  |  Yes  | mrdo     |
| Mr. Do! (Taito)                  |  Yes  |  Yes  |  Yes  |  Yes  | mrdot    |
| Mr. Do! (bugfixed)               |  Yes  |  Yes  |  Yes  |  Yes  | mrdofix  |
| Mr. Lo!                          |  Yes  |  Yes  |  Yes  |  Yes  | mrlo     |
| Mr. Du!                          |  Yes  |  Yes  |  Yes  |  Yes  | mrdu     |
| Mr. Do! (Yukidaruma)             |  Yes  |  Yes  |  Yes  |  Yes  | mrdoy    |
| Yankee DO!                       |  Yes  |  Yes  |  Yes  |  Yes  | yankeedo |
| Mr. Do's Castle (set 1)          |  Yes  |  Yes  |  Yes  |  Yes  | docastle |
| Mr. Do's Castle (set 2)          |  Yes  |  Yes  |  Yes  |  Yes  | docastl2 |
| Mr. Do vs. Unicorns              |  Yes  |  Yes  |  Yes  |  Yes  | douni    |
| Do! Run Run (set 1)              |  Yes  |  Yes  |  Yes  |  Yes  | dorunrun |
| Do! Run Run (set 2)              |  Yes  |  Yes  |  Yes  |  Yes  | dorunru2 |
| Do! Run Run (Do's Castle hardware|  Yes  |  Yes  |  Yes  |  Yes  | dorunruc |
| Super Pierrot (Japan)            |  Yes  |  Yes  |  Yes  |  Yes  | spiero   |
| Mr. Do's Wild Ride               |  Yes  |  Yes  |  Yes  |  Yes  | dowild   |
| Jumping Jack                     |  Yes  |  Yes  |  Yes  |  Yes  | jjack    |
| Kick Rider                       |  Yes  |  Yes  |  Yes  |  Yes  | kickridr |
| Radar Scope                      |  Yes  |  Yes  |Part(2)|  Yes  | radarscp |
| Donkey Kong (US)                 |  Yes  |  Yes  | Yes(2)|  Yes  | dkong    |
| Donkey Kong (Japan set 1)        |  Yes  |  Yes  | Yes(2)|  Yes  | dkongjp  |
| Donkey Kong (Japan set 2)        |  Yes  |  Yes  | Yes(2)|  Yes  | dkongjpo |
| Donkey Kong Junior (US)          |  Yes  |  Yes  | Yes(2)|  Yes  | dkongjr  |
| Donkey Kong Jr. (Original Japanes|  Yes  |  Yes  | Yes(2)|  Yes  | dkngjrjp |
| Donkey Kong Junior (Japan)       |  Yes  |  Yes  | Yes(2)|  Yes  | dkjrjp   |
| Donkey Kong Junior (bootleg?)    |  Yes  |  Yes  | Yes(2)|  Yes  | dkjrbl   |
| Donkey Kong 3 (US)               |  Yes  |  Yes  |  Yes  |  Yes  | dkong3   |
| Donkey Kong 3 (Japan)            |  Yes  |  Yes  |  Yes  |  Yes  | dkong3j  |
| Mario Bros. (US)                 |  Yes  |  Yes  | Yes(2)|  Yes  | mario    |
| Mario Bros. (Japan)              |  Yes  |  Yes  | Yes(2)|  Yes  | mariojp  |
| Masao                            |  Yes  |  Yes  |  Yes  |  Yes  | masao    |
| Hunchback (Donkey Kong conversion|  Yes  |   No  |  Yes  |  Yes  | hunchbkd |
| Herbie at the Olympics (DK conver|  Yes  |   No  |  Yes  |  Yes  | herbiedk |
| herocast                         |  Yes  |  Yes  | Yes(2)|  Yes  | herocast |
| Popeye (set 1)                   |  Yes  |  Yes  |  Yes  |   No  | popeye   |
| Popeye (set 2)                   |  Yes  |  Yes  |  Yes  |   No  | popeye2  |
| Popeye (bootleg)                 |  Yes  |  Yes  |  Yes  |   No  | popeyebl |
| Punch-Out!!                      |  Yes  |  Yes  |  Yes  |  Yes  | punchout |
| Super Punch-Out!!                |  Yes  |  Yes  |  Yes  |  Yes  | spnchout |
| Super Punch-Out!! (Japan)        |  Yes  |  Yes  |  Yes  |  Yes  | spnchotj |
| Arm Wrestling                    |  Yes  |  Yes  |  Yes  |  Yes  | armwrest |
| Sea Wolf                         |  Yes  |  Yes  |   No  |  Yes  | seawolf  |
| Gun Fight                        |  Yes  |  Yes  |   No  |  Yes  | gunfight |
| Tornado Baseball                 |  Yes  |  Yes  |   No  |  Yes  | tornbase |
| Datsun 280 Zzzap                 |  Yes  |  Yes  |   No  |  Yes  | 280zzzap |
| Amazing Maze                     |  Yes  |  Yes  |   No  |  Yes  | maze     |
| Boot Hill                        |  Yes  |  Yes  | Yes(2)|  Yes  | boothill |
| Checkmate                        |  Yes  |  Yes  |   No  |  Yes  | checkmat |
| Desert Gun                       |  Yes  |  Yes  |   No  |  Yes  | desertgu |
| Double Play                      |  Yes  |  Yes  |   No  |  Yes  | dplay    |
| Laguna Racer                     |  Yes  |  Yes  |   No  |  Yes  | lagunar  |
| Guided Missile                   |  Yes  |  Yes  |   No  |  Yes  | gmissile |
| M-4                              |  Yes  |  Yes  |   No  |  Yes  | m4       |
| Clowns                           |  Yes  |  Yes  |   No  |  Yes  | clowns   |
| Extra Innings                    |  Yes  |  Yes  |   No  |  Yes  | einnings |
| Shuffleboard                     |  Yes  |  Yes  |   No  |  Yes  | shuffle  |
| Dog Patch                        |  Yes  |  Yes  |   No  |  Yes  | dogpatch |
| Space Encounters                 |  Yes  |  Yes  |   No  |  Yes  | spcenctr |
| Phantom II                       |  Yes  |  Yes  |   No  |  Yes  | phantom2 |
| 4 Player Bowling                 |  Yes  |  Yes  |   No  |  Yes  | bowler   |
| Space Invaders                   |  Yes  |  Yes  | Yes(2)|  Yes  | invaders |
| Blue Shark                       |  Yes  |  Yes  |   No  |  Yes  | blueshrk |
| Space Invaders II (Midway, cockta|  Yes  |  Yes  | Yes(2)|  Yes  | invad2ct |
| Space Invaders Part II (Taito)   |  Yes  |  Yes  | Yes(2)|  Yes  | invadpt2 |
| Space Invaders Deluxe            |  Yes  |  Yes  | Yes(2)|  Yes  | invaddlx |
| Moon Base                        |  Yes  |  Yes  | Yes(2)|  Yes  | moonbase |
| Super Earth Invasion             |  Yes  |  Yes  | Yes(2)|  Yes  | earthinv |
| Space Attack II                  |  Yes  |  Yes  | Yes(2)|  Yes  | spaceatt |
| Super Invaders (Zenitone-Microsec|  Yes  |  Yes  | Yes(2)|  Yes  | sinvzen  |
| Super Invaders                   |  Yes  |  Yes  | Yes(2)|  Yes  | superinv |
| Super Invaders (EMAG)            |  Yes  |  Yes  | Yes(2)|  Yes  | sinvemag |
| Jatre Specter                    |  Yes  |  Yes  | Yes(2)|  Yes  | jspecter |
| Invader's Revenge                |  Yes  |  Yes  |   No  |  Yes  | invrvnge |
| Invader's Revenge (Dutchford)    |  Yes  |  Yes  |   No  |  Yes  | invrvnga |
| Galaxy Wars                      |  Yes  |  Yes  | Yes(2)|  Yes  | galxwars |
| Star Wars                        |  Yes  |  Yes  | Yes(2)|  Yes  | starw    |
| Lunar Rescue                     |  Yes  |  Yes  | Yes(2)|  Yes  | lrescue  |
| Galaxy Rescue                    |  Yes  |  Yes  | Yes(2)|  Yes  | grescue  |
| Destination Earth                |  Yes  |  Yes  | Yes(2)|  Yes  | desterth |
| Cosmic Monsters                  |  Yes  |  Yes  | Yes(2)|  Yes  | cosmicmo |
| Rolling Crash / Moon Base        |  Yes  |  Yes  |   No  |  Yes  | rollingc |
| Sheriff                          |  Yes  |  Yes  |  Yes  |  Yes  | sheriff  |
| Bandido                          |  Yes  |  Yes  |  Yes  |  Yes  | bandido  |
| Ozma Wars                        |  Yes  |  Yes  | Yes(2)|  Yes  | ozmawars |
| Solar Fight                      |  Yes  |  Yes  | Yes(2)|  Yes  | solfight |
| Space Phantoms                   |  Yes  |  Yes  | Yes(2)|  Yes  | spaceph  |
| Space Chaser                     |  Yes  | Close |Partial|  Yes  | schaser  |
| Space Chaser (CV version)        |  Yes  | Close |   No  |   No  | schasrcv |
| Lupin III                        |  Yes  |  Yes  |   No  |   No  | lupin3   |
| HeliFire (set 1)                 |  Yes  |  Yes  |Partial|   No  | helifire |
| HeliFire (set 2)                 |  Yes  |  Yes  |Partial|   No  | helifira |
| Space Fever (set 1)              |  Yes  |  Yes  |  Yes  |  Yes  | spacefev |
| Space Fever (set 2)              |  Yes  |  Yes  |  Yes  |  Yes  | spacefva |
| Space Laser                      |  Yes  |  Yes  | Yes(2)|  Yes  | spclaser |
| Laser                            |  Yes  |  Yes  | Yes(2)|  Yes  | laser    |
| Space War (Leijac)               |  Yes  |  Yes  | Yes(2)|  Yes  | spcewarl |
| Polaris (set 1)                  |  Yes  |  Yes  |   No  |  Yes  | polaris  |
| Polaris (set 2)                  |  Yes  |  Yes  |   No  |  Yes  | polarisa |
| Balloon Bomber                   |  Yes  |  Yes  |  Yes  |  Yes  | ballbomb |
| M79 Ambush                       |  Yes  |  Yes  |  Yes  |  Yes  | m79amb   |
| Alien Invasion Part II           |  Yes  |  Yes  | Yes(2)|  Yes  | alieninv |
| Space Invaders (TV Version)      |  Yes  |  Yes  | Yes(2)|  Yes  | sitv     |
| Space Invaders (CV Version)      |  Yes  |  Yes  | Yes(2)|  Yes  | sicv     |
| Space Invaders (SV Version)      |  Yes  |  Yes  | Yes(2)|  Yes  | sisv     |
| Space Invaders (SV Version 2)    |  Yes  |  Yes  | Yes(2)|  Yes  | sisv2    |
| Space War Part 3                 |  Yes  |  Yes  | Yes(2)|  Yes  | spacewr3 |
| Space Invaders (Logitec)         |  Yes  |  Yes  | Yes(2)|  Yes  | invaderl |
| Yosaku To Donbee (bootleg)       |  Yes  |  Yes  |   No  |  Yes  | yosakdon |
| Space King                       |  Yes  |  Yes  | Yes(2)|  Yes  | spceking |
| Space War (Sanritsu)             |  Yes  |  Yes  | Yes(2)|  Yes  | spcewars |
| Astro Invader                    |  Yes  |  Yes  | Yes(2)|  Yes  | astinvad |
| Kamikaze                         |  Yes  |  Yes  | Yes(2)|  Yes  | kamikaze |
| Space Intruder                   |  Yes  |   No  |   No  |   No  | spaceint |
| Lazer Command                    |  Yes  |  Yes  |  Yes  |  Yes  | lazercmd |
| Dead Eye                         |  Yes  |  Yes  |  Yes  |  Yes  | deadeye  |
| Gypsy Juggler                    |  Yes  |  Yes  |  Yes  |  Yes  | gypsyjug |
| Meadows Lanes                    |  Yes  |  Yes  |  Yes  |  Yes  | medlanes |
| Sea Wolf II                      |  Yes  |  Yes  |   No  |  Yes  | seawolf2 |
| Space Zap                        |  Yes  |  Yes  |  Yes  |  Yes  | spacezap |
| Extra Bases                      |  Yes  |  Yes  |  Yes  |  Yes  | ebases   |
| Wizard of Wor                    |  Yes  |  Yes  |  Yes  |  Yes  | wow      |
| Gorf                             |  Yes  |  Yes  |  Yes  |  Yes  | gorf     |
| Gorf (Program 1)                 |  Yes  |  Yes  |  Yes  |  Yes  | gorfpgm1 |
| Robby Roto                       |  Yes  |  Yes  |  Yes  |  Yes  | robby    |
| Solar Fox                        |  Yes  |  Yes  |  Yes  |  Yes  | solarfox |
| Kick (upright)                   |  Yes  |  Yes  |  Yes  |  Yes  | kick     |
| Kick (cocktail)                  |  Yes  |  Yes  |  Yes  |  Yes  | kicka    |
| Satan's Hollow (set 1)           |  Yes  |  Yes  |  Yes  |  Yes  | shollow  |
| Satan's Hollow (set 2)           |  Yes  |  Yes  |  Yes  |  Yes  | shollow2 |
| Tron (set 1)                     |  Yes  |  Yes  |  Yes  |  Yes  | tron     |
| Tron (set 2)                     |  Yes  |  Yes  |  Yes  |  Yes  | tron2    |
| Kozmik Kroozr                    |  Yes  |  Yes  |  Yes  |  Yes  | kroozr   |
| Domino Man                       |  Yes  |  Yes  |  Yes  |  Yes  | domino   |
| Wacko                            |  Yes  |  Yes  |  Yes  |  Yes  | wacko    |
| Two Tigers                       |  Yes  |  Yes  |  Yes  |  Yes  | twotiger |
| Journey                          |  Yes  |  Yes  |Partial|  Yes  | journey  |
| Tapper (Budweiser)               |  Yes  |  Yes  |  Yes  |  Yes  | tapper   |
| Tapper (alternate)               |  Yes  |  Yes  |  Yes  |  Yes  | tappera  |
| Tapper (Suntory)                 |  Yes  |  Yes  |  Yes  |  Yes  | sutapper |
| Tapper (Root Beer)               |  Yes  |  Yes  |  Yes  |  Yes  | rbtapper |
| Timber                           |  Yes  |  Yes  |  Yes  |  Yes  | timber   |
| Discs of Tron (Upright)          |  Yes  |  Yes  |  Yes  |  Yes  | dotron   |
| Discs of Tron (Environmental)    |  Yes  |  Yes  |  Yes  |  Yes  | dotrone  |
| Demolition Derby                 |  Yes  |  Yes  |  Yes  |  Yes  | destderb |
| Demolition Derby (2-Player Mono B|  Yes  |  Yes  |  Yes  |  Yes  | destderm |
| Sarge                            |  Yes  |  Yes  |  Yes  |  Yes  | sarge    |
| Rampage (revision 3)             |  Yes  |  Yes  |  Yes  |  Yes  | rampage  |
| Rampage (revision 2)             |  Yes  |  Yes  |  Yes  |  Yes  | rampage2 |
| Power Drive                      |  Yes  |  Yes  |  Yes  |  Yes  | powerdrv |
| Max RPM                          |  Yes  |  Yes  |  Yes  |  Yes  | maxrpm   |
| Spy Hunter                       |  Yes  |  Yes  |  Yes  |  Yes  | spyhunt  |
| Turbo Tag (Prototype)            |  Yes  |  Yes  |  Yes  |  Yes  | turbotag |
| Crater Raider                    |  Yes  |  Yes  |  Yes  |  Yes  | crater   |
| Zwackery                         |  Yes  |  Yes  |  Yes  |  Yes  | zwackery |
| Xenophobe                        |  Yes  |  Yes  |  Yes  |  Yes  | xenophob |
| Spy Hunter 2 (rev 2)             |  Yes  |  Yes  |  Yes  |  Yes  | spyhunt2 |
| Spy Hunter 2 (rev 1)             |  Yes  |  Yes  |  Yes  |  Yes  | spyhnt2a |
| Blasted                          |  Yes  |  Yes  |  Yes  |  Yes  | blasted  |
| Arch Rivals (rev 4.0)            |  Yes  |  Yes  |  Yes  |  Yes  | archrivl |
| Arch Rivals (rev 2.0)            |  Yes  |  Yes  |  Yes  |  Yes  | archriv2 |
| Tri-Sports                       |  Yes  |  Yes  |  Yes  |  Yes  | trisport |
| Pigskin 621AD                    |  Yes  |  Yes  |  Yes  |  Yes  | pigskin  |
| Sente Diagnostic Cartridge       |  Yes  |  Yes  |  Yes  |  Yes  | sentetst |
| Chicken Shift                    |  Yes  |  Yes  |  Yes  |  Yes  | cshift   |
| Goalie Ghost                     |  Yes  |  Yes  |  Yes  |  Yes  | gghost   |
| Hat Trick                        |  Yes  |  Yes  |  Yes  |  Yes  | hattrick |
| Off the Wall (Sente)             |  Yes  |  Yes  |  Yes  |  Yes  | otwalls  |
| Snake Pit                        |  Yes  |  Yes  |  Yes  |  Yes  | snakepit |
| Snacks'n Jaxson                  |  Yes  |  Yes  |  Yes  |  Yes  | snakjack |
| Stocker                          |  Yes  |  Yes  |  Yes  |  Yes  | stocker  |
| Trivial Pursuit (Genus I)        |  Yes  |  Yes  |  Yes  |  Yes  | triviag1 |
| Trivial Pursuit (Genus II)       |  Yes  |  Yes  |  Yes  |  Yes  | triviag2 |
| Trivial Pursuit (All Star Sports |  Yes  |  Yes  |  Yes  |  Yes  | triviasp |
| Trivial Pursuit (Young Players Ed|  Yes  |  Yes  |  Yes  |  Yes  | triviayp |
| Trivial Pursuit (Baby Boomer Edit|  Yes  |  Yes  |  Yes  |  Yes  | triviabb |
| Gimme A Break                    |  Yes  |  Yes  |  Yes  |  Yes  | gimeabrk |
| Mini Golf (set 1)                |  Yes  |  Yes  |  Yes  |  Yes  | minigolf |
| Mini Golf (set 2)                |  Yes  |  Yes  |  Yes  |  Yes  | minigol2 |
| Toggle                           |  Yes  |  Yes  |  Yes  |  Yes  | toggle   |
| Name That Tune                   |  Yes  |  Yes  |  Yes  |  Yes  | nametune |
| Night Stocker                    |  Yes  |  Yes  |  Yes  |  Yes  | nstocker |
| Street Football                  |  Yes  |  Yes  |  Yes  |  Yes  | sfootbal |
